target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,advanced,Corporate,22482,0,1,0,15.310909498,41.985867206,7.4180327869,0,0,1.2954562467,296
0,OTHER,elementary,,160000,0,0,0,0.9296146953,30.463013699,0.7175761659,1,1,9.5727674227,297
0,OTHER,elementary,Corporate,113462,0,1,1,0.6332437276,50.142465753,5.2136986301,0,0,4.8858297777,316
0,OTHER,elementary,Corporate,113462,0,1,1,0.6332437276,50.142465753,5.2136986301,0,0,4.8858297777,317
0,OTHER,advanced,,50000,0,0,1,1.115703405,30.315068493,4.8283030167,0,0,8.0054794521,321
0,2NDFL,elementary,,35036,0,0,1,2.415546595,28.989931881,2.0091099633,1,2,8.087431694,322
0,OTHER,elementary,Corporate,18328,0,1,0,,31.133243506,0.8565311775,0,0,9.9770791227,329
0,OTHER,elementary,Corporate,26512,0,1,0,56.307549283,48.982027098,0.8724380567,0,1,3.8825136612,347
0,OTHER,elementary,Corporate,105790,0,1,,,47.221311475,0.9970207351,,,2.1148289543,352
0,OTHER,advanced,Corporate,16704,0,1,0,24.570564516,47.302253163,3.7677595628,0,0,2.2091024777,357
0,OTHER,elementary,VIP,210000,0,0,,,37.242593008,8.0301369863,,,11.224657534,358
0,OTHER,elementary,Corporate,26387,0,1,1,2.0850806452,40.163934426,0.3114754098,0,0,13.434081892,359
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,363
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,366
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,369
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,370
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,374
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,375
0,2NDFL,elementary,,57907,0,0,,,27.126027397,2.7643835616,,,6.9561643836,382
0,2NDFL,elementary,,26322,0,0,1,4.4076836918,33.98630137,13.539726027,1,1,10.424657534,384
0,OTHER,advanced,Corporate,62920,0,1,0,1.4121863799,48.854562467,12.186069317,0,0,3.8114754098,386
0,OTHER,elementary,Corporate,72981,0,1,0,21.173767921,35.909589041,9.4657534247,1,1,7.7780821918,390
0,OTHER,advanced,Corporate,27311,0,1,1,0.9863351254,30.592506924,1.0692192529,0,0,7.0856576091,395
0,2NDFL,elementary,,43500,0,0,1,0.7260304659,47.680013474,1.3813833371,2,2,2.6580956658,398
0,OTHER,elementary,,70000,0,0,0,1.0810483871,25.923287671,1.0565311775,1,1,5.904109589,403
0,2NDFL,elementary,,82662,0,0,,,32.205479452,4.4246575342,,,6.3808219178,411
0,OTHER,beginner,Corporate,194097,0,1,0,0.9934587814,28.038251366,4.0054644809,0,0,4.1557377049,412
